"","name","city","prim","sec","tert","quart","state","stars"
"1","17th Street Cafe","Pittsburgh","Italian"," American (New)",NA,NA,"PA",3.46666666666667
"2","1889 Cafe","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",2.63636363636364
"3","1902 Tavern","Pittsburgh","American (Traditional)",NA,NA,NA,"PA",2.75
"4","19th Donut Hole","Mesa","Food"," Donuts"," Breakfast & Brunch"," Bakeries","AZ",4.02777777777778
"5","2 Men and A Pizza","Scottsdale","Pizza",NA,NA,NA,"AZ",3.07142857142857
"6","3 Margaritas","Phoenix","Steakhouses"," Mexican",NA,NA,"AZ",2.66666666666667
"7","300 East","Charlotte","American (New)",NA,NA,NA,"NC",4.13291139240506
"8","40th Street Cafe","Phoenix","Cafes"," American (Traditional)"," Diners",NA,"AZ",4.0989010989011
"9","43rd Express","Phoenix","Vietnamese",NA,NA,NA,"AZ",4.52820512820513
"10","480 Bar","Chandler","Bars"," Chicken Wings"," Nightlife"," Karaoke, Sports Bars","AZ",3.86666666666667
"11","4th Floor Grille & Sports Bar","Scottsdale","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","AZ",3.81578947368421
"12","5 & Diner","Phoenix","Diners",NA,NA,NA,"AZ",3.24594594594595
"13","5 & Diner Deer Valley","Phoenix","American (New)",NA,NA,NA,"AZ",3.9
"14","56th St Deli & Market","Phoenix","Food"," Convenience Stores"," Delis",NA,"AZ",4.33333333333333
"15","5th Quarter Sports Bar & Grill","Verona","Bars"," "," American (Traditional)"," Sports Bars, Nightlife","WI",3.58823529411765
"16","61C Cafe","Pittsburgh","Food"," Coffee & Tea"," Cafes",NA,"PA",3.41666666666667
"17","A-Ri-Rang","Champaign","Korean",NA,NA,NA,"IL",3.5
"18","A & J Chicago Style Bar-B-Q","Phoenix","Barbeque",NA,NA,NA,"AZ",3.44444444444444
"19","A A Wok","Phoenix","Chinese",NA,NA,NA,"AZ",3
"20","A&W Restaurant","Windsor","Burgers"," Fast Food",NA,NA,"WI",3.75
"21","Abacus Inn","Phoenix","Chinese",NA,NA,NA,"AZ",3.91549295774648
"22","Abacus Inn Chinese Restaurant","Phoenix","Chinese",NA,NA,NA,"AZ",3.23076923076923
"23","Abacus Inn Chinese Restaurant-Arrowhead","Glendale","Chinese",NA,NA,NA,"AZ",3.44086021505376
"24","Abbey Gardens","Mesa","American (New)",NA,NA,NA,"AZ",3
"25","Abruzzi's","Pittsburgh",""," Italian",NA,NA,"PA",4.33333333333333
"26","Abuelo's","Chandler","Mexican"," Tex-Mex",NA,NA,"AZ",3.63658536585366
"27","Adams 7th Street Market","Charlotte","Delis",NA,NA,NA,"NC",4.14285714285714
"28","Adar Kosher Pizza","Las Vegas","Kosher"," Pizza",NA,NA,"NV",1.88235294117647
"29","Adrian's","Mesa","Mexican",NA,NA,NA,"AZ",4.8135593220339
"30","Aggie's Ice Cream & Grill","Charlotte","Diners",NA,NA,NA,"NC",3.1
"31","Ah-So","Glendale","Food"," Ethnic Food"," Specialty Food"," Japanese","AZ",4.01960784313725
"32","Ah-So Japanese Restaurant","Mesa","Sushi Bars"," Japanese",NA,NA,"AZ",3.35555555555556
