"","city","name","state","avgStars","ZipCode","Type","Median..","price"
"1","Dravosburg","Mr Hoagie","PA",4.66666666666667,15034,"American","45,362","1"
"2","rankin","Emil's Lounge","PA",4.72222222222222,15104,"Other","24,093","1"
"3","Carnegie","Alexion's Bar & Grill","PA",3.94117647058824,15106,"Other","48,659","1"
"4","Carnegie","Kings Family Restaurant","PA",3.28571428571429,15106,"American","48,659","1"
"5","Carnegie","Rocky's Lounge","PA",4,15106,"Other","48,659","1"
"6","Carnegie","Gab & Eat","PA",4.56603773584906,15106,"Other","48,659","1"
"7","Carnegie","Barb's Country Junction Cafe","PA",4,15106,"Other","48,659","1"
"8","Carnegie","Paddy's Pour House","PA",3,15106,"European","48,659","2"
"9","Carnegie","Long John Silver's","PA",3.4,15106,"Other","48,659","1"
"10","Carnegie","Don Don Chinese Restaurant","PA",2.5,15106,"Asian","48,659","1"
"11","Pittsburgh","Denny's","PA",4.42857142857143,15220,"Other","51,164","1"
"12","Carnegie","Papa J's","PA",3.57142857142857,15106,"European","48,659","2"
"13","Homestead","Homestead Capri Pizza","PA",3.33333333333333,15120,"European","38,757","1"
"14","Munhall","Steak 'n Shake","PA",1.93023255813953,15120,"American","38,757","1"
"15","Homestead","Duke's Upper Deck Cafe","PA",3.65384615384615,15120,"Other","38,757","2"
"16","Homestead","Dave & Buster's","PA",2.77922077922078,15120,"Other","38,757","2"
"17","Homestead","Wendy's","PA",1.75,15120,"American","38,757","1"
"18","Homestead","Italian Village Pizza","PA",2,15120,"European","38,757",NA
"19","Homestead","Rock Bottom","PA",3.34513274336283,15120,"Other","38,757","2"
"20","West Homestead","Bar Louie","PA",2.7,15120,"Other","38,757","2"
"21","Munhall","The Dragon Chinese Cuisine","PA",3.25,15120,"Asian","38,757","1"
"22","Homestead","TGI Friday's","PA",2.53333333333333,15120,"Other","38,757","2"
"23","Homestead","Uno Pizzeria & Grill","PA",2.94736842105263,15120,"European","38,757","2"
"24","West Homestead","P.F. Chang's China Bistro","PA",3.06849315068493,15120,"Asian","38,757","2"
"25","West Homestead","Panera Bread","PA",3.15,15120,"Other","38,757","1"
"26","Munhall","The Pizza Company","PA",3.5,15120,"European","38,757","1"
"27","Homestead","Eat'n Park","PA",3,15120,"Other","38,757","1"
"28","Pittsburgh/Waterfront","Mitchell's Fish Market","PA",3.51111111111111,15120,"Other","38,757","3"
"29","West Mifflin","McDonald's","PA",1,15122,"American","46,052",NA
"30","West Mifflin","Latina Pizza","PA",4,15122,"European","46,052","1"
"31","West Mifflin","Bellisario Pizza Shop","PA",3,15122,"European","46,052","1"
"32","West Mifflin","Hunan Wok Chinese Restaurant","PA",4.75,15122,"Asian","46,052","1"
"33","McKees Rocks","Eat'n Park Restaurant","PA",3.75,15136,"Other","45,550","1"
"34","McKees Rocks","Broadway Brunch","PA",4.70588235294118,15136,"American","45,550","1"
"35","Mc Kees Rocks","Pasquarelli's Pizza House","PA",4,15136,"European","45,550","2"
"36","McKees Rocks","Applebee's","PA",3.75,15136,"American","45,550","2"
"37","Pittsburgh","Sapporo Japanese Steakhouse","PA",4.16666666666667,15205,"Asian","47,441","3"
"38","Bellvue","R & B's Pizza Place","PA",3.92857142857143,15202,"European","45,961","1"
"39","Bellevue","Luigi's Pizzeria","PA",4,15202,"European","45,961","2"
"40","Pittsburgh","McDonald's","PA",2.4,15202,"American","45,961","1"
"41","Bellevue","China Sea Chinese Restaurant","PA",3,15202,"Asian","45,961","1"
"42","Pittsburgh","Wendy's","PA",1.5,15202,"American","45,961","1"
"43","Bellevue","Vivo","PA",5,15202,"European","45,961","4"
"44","Pittsburgh","Arby's","PA",2.75,15202,"Other","45,961","1"
"45","Bellevue","Rusty Nail","PA",3.54545454545455,15202,"Other","45,961","1"
"46","Pittsburgh","Pino's Contemporary Italian Restaurant & Wine Bar","PA",3.13793103448276,15206,"European","39,661","2"
"47","Pittsburgh","Eddie's Pizza Haus","PA",4,15206,"European","39,661","1"
"48","Pittsburgh","Tasty Chinese Restaurant","PA",2.66666666666667,15206,"Asian","39,661","1"
"49","Pittsburgh","Vento's Pizza","PA",3.2,15206,"European","39,661","1"
"50","Pittsburgh","Minutello's Restaurant & Lounge","PA",3.11111111111111,15206,"European","39,661","2"
"51","Pittsburgh","Tazza D'oro Cafe & Espresso Bar","PA",4.33333333333333,15206,"Other","39,661","1"
"52","Pittsburgh","Buffalo Blues","PA",2.90566037735849,15206,"Other","39,661","2"
"53","Pittsburgh","China Garden","PA",3,15206,"Asian","39,661","1"
"54","Pittsburgh","McDonald's","PA",1.83333333333333,15206,"American","39,661","1"
"55","Pittsburgh","Pizza Parma","PA",2.82142857142857,15206,"European","39,661","2"
"56","Pittsburgh","Jimmy Tsang's Chinese Restaurant","PA",2.81818181818182,15206,"Asian","39,661","2"
"57","Pittsburgh","Casbah","PA",4.03347280334728,15206,"European","39,661","3"
"58","Pittsburgh","Quiet Storm Vegetarian & Vegan Cafe","PA",3.80434782608696,15206,"Other","39,661","1"
"59","Pittsburgh","Pizza Perfectta","PA",3.94545454545455,15206,"European","39,661","2"
"60","Pittsburgh","East End Food Co-Op","PA",4.3015873015873,15208,"Other","37,759","2"
"61","Pittsburgh","Cafe Zinho","PA",4.15789473684211,15232,"European","45,928","2"
"62","Pittsburgh","Maietta Restaurant","PA",4,15210,"Other","31,997","1"
"63","Pittsburgh","Great Wall Chinese Food","PA",2.5,15210,"Asian","31,997","1"
"64","Pittsburgh","Alla Famiglia","PA",4.4375,15210,"European","31,997","4"
"65","Pittsburgh","No 1 China House","PA",2.75,15210,"Asian","31,997","1"
"66","Pittsburgh","Hunan Wok Chinese Takeout","PA",2.5,15210,"Asian","31,997","2"
"67","Pittsburgh","Bishop's Pizza","PA",3,15210,"European","31,997","2"
"68","Pittsburgh","Frank & Shirley's Restaurant","PA",3.82352941176471,15210,"Other","31,997","1"
"69","Pittsburgh","DiCarlo's Original Pizza","PA",4.14285714285714,15210,"European","31,997","1"
"70","Pittsburgh","Long John Silver's","PA",1.66666666666667,15210,"American","31,997","1"
"71","Pittsburgh","Anthony's Pizza","PA",3.71428571428571,15210,"European","31,997","2"
"72","Pittsburgh","Max's Allegheny Tavern","PA",3.890625,15212,"European","35,831","2"
"73","Pittsburgh","China Taste","PA",4.16666666666667,15212,"Asian","35,831","1"
"74","Pittsburgh","North Shore Deli","PA",4.3,15212,"Other","35,831","1"
"75","Pittsburgh","Clark Bar & Grill","PA",3.5,15212,"Other","35,831","2"
"76","Pittsburgh","Pasta Too","PA",4,15212,"European","35,831",NA
"77","Pittsburgh","Mullin's Diner","PA",3.77777777777778,15212,"Other","35,831","1"
"78","Pittsburgh","Ron's Pizza Palace","PA",2.5,15212,"European","35,831","1"
"79","Pittsburgh","Teutonia Mannerchor","PA",4.25,15212,"European","35,831","2"
"80","Pittsburgh","Billy's Troy Hill Bistro","PA",2.83333333333333,15212,"Other","35,831","2"
"81","Pittsburgh","Heinz USA","PA",4.66666666666667,15212,"Other","35,831","1"
"82","Pittsburgh","Pizza Hut","PA",2.33333333333333,15212,"European","35,831","2"
"83","Pittsburgh","Legends North Shore","PA",4.01282051282051,15212,"European","35,831","2"
"84","Pittsburgh","Subway","PA",2.5,15212,"American","35,831","1"
"85","Pittsburgh","Peanutz","PA",2.42857142857143,15212,"Other","35,831","1"
"86","Pittsburgh","Steves New York Hotdog Shop","PA",4.66666666666667,15212,"American","35,831","1"
"87","Pittsburgh","Lillen's Restaurant","PA",4.25,15212,"Other","35,831","1"
"88","Pittsburgh","Atria's Restaurant","PA",2.84615384615385,15212,"Other","35,831","2"
"89","Pittsburgh","Pickles Pizza & Sandwich Emporium","PA",3.53846153846154,15212,"European","35,831","1"
"90","Pittsburgh","Wilson's Bar-B-Q","PA",4,15212,"Other","35,831","2"
"91","Pittsburgh","The Isaly Company","PA",3,15212,"Other","35,831","1"
"92","Pittsburgh","Nick's Place","PA",3.5,15212,"European","35,831","2"
"93","Pittsburgh","Wiseguys Pizza","PA",3.42857142857143,15212,"European","35,831","2"
"94","Pittsburgh","Miller's Seafood House","PA",2.75,15212,"Other","35,831","2"
"95","Pittsburgh","Chubby's Pizza & Hoagies Northside","PA",3,15212,"European","35,831","1"
"96","Pittsburgh","Knossos Gyros & Sis-Kabob","PA",3.58333333333333,15216,"European","48,409","1"
"97","Pittsburgh","Huddle","PA",3.8,15216,"Other","48,409","1"
"98","Pittsburgh","Sushi Three","PA",3.625,15216,"Asian","48,409","2"
"99","Pittsburgh","Green Garden","PA",2.625,15216,"Asian","48,409","2"
"100","Pittsburgh","Tom's Diner","PA",3.31034482758621,15216,"Other","48,409","1"
"101","Pittsburgh","Beto's Pizza","PA",3.80357142857143,15216,"European","48,409","1"
"102","Pittsburgh","Slapshots","PA",2.33333333333333,15216,"Other","48,409",NA
"103","Pittsburgh","Eat'n Park Restaurant","PA",3.6875,15216,"American","48,409","1"
"104","Pittsburgh","Dairy Queen","PA",3.83333333333333,15216,"American","48,409","1"
"105","Pittsburgh","Cain's Saloon","PA",3.35802469135802,15216,"Other","48,409","2"
"106","Pittsburgh","The Dor-Stop Restaurant","PA",4.32863849765258,15216,"Other","48,409","1"
"107","Pittsburgh","Campiti's Don Pizzeria","PA",3.48148148148148,15216,"European","48,409","1"
"108","Pittsburgh","Namaste India","PA",2.92307692307692,15216,"Asian","48,409","2"
"109","Pittsburgh","Maharaja Restaurant","PA",3.3,15216,"Asian","48,409","1"
"110","Pittsburgh","Arby's","PA",2,15216,"American","48,409",NA
"111","Pittsburgh","Bado's Pizza Grill And Ale House","PA",3.61904761904762,15216,"European","48,409","2"
"112","Pittsburgh","Little Nipper's Pizza","PA",2.375,15216,"European","48,409","2"
"113","Pittsburgh","D's Six Pax & Dogz","PA",4.29218106995885,15218,"American","48,658","2"
"114","Pittsburgh","Dunning's Grill","PA",3,15218,"Other","48,658","2"
"115","Pittsburgh","Taco Bell","PA",2.66666666666667,15218,"American","48,658","1"
"116","Pittsburgh","Rudy Martino Original House of Submarines","PA",5,15218,"Other","48,658","1"
"117","Swissvale","China House II","PA",3.5,15218,"Asian","48,658","1"
"118","Pittsburgh","Triangle Bar & Grill","PA",4.48780487804878,15218,"Other","48,658","1"
"119","Swissvale","Veltre's Pizza","PA",4.23076923076923,15218,"European","48,658","2"
"120","Pittsburgh","Wendy's","PA",2.4,15218,"American","48,658","1"
"121","Pittsburgh","Applebee's","PA",2.46153846153846,15218,"American","48,658","2"
"122","Pittsburgh","Benihana","PA",2.93333333333333,15220,"Asian","51,164","3"
"123","Pittsburgh","Mad Mex - South Hills","PA",3.43243243243243,15220,"LAmerican","51,164","2"
"124","Pittsburgh","Pizza Hut","PA",2,15220,"European","51,164","1"
"125","Pittsburgh","Max & Erma's","PA",2.64705882352941,15220,"Other","51,164","2"
"126","Pittsburgh","Wendy's","PA",1.5,15220,"American","51,164","2"
"127","Pittsburgh","Bruegger's Bagels","PA",2.75,15220,"Other","51,164","1"
"128","Pittsburgh","Sichuan House Chinese Restaurant","PA",3.66666666666667,15220,"Asian","51,164","2"
"129","Pittsburgh","Panera Bread","PA",3.58333333333333,15220,"Other","51,164","2"
"130","Pittsburgh","Aracri's Greentree Inn","PA",3.75,15220,"Other","51,164","3"
"131","Pittsburgh","Tramp's Restaurant","PA",3.33333333333333,15220,"Other","51,164","1"
"132","Pittsburgh","Vincent's of Greentree","PA",3.42105263157895,15220,"European","51,164","2"
"133","Pittsburgh","Olive Garden Italian Restaurant","PA",3.31818181818182,15220,"European","51,164","2"
"134","Pittsburgh","Boston Market","PA",3.5,15220,"Other","51,164","1"
"135","Pittsburgh","Soho","PA",3,15212,"Other","35,831","2"
"136","Pittsburgh","Original Fish Market","PA",2.56521739130435,15222,"Other","42,764","3"
"137","Pittsburgh","Bossa Nova","PA",2.73076923076923,15222,"Other","42,764","3"
"138","Pittsburgh","Olive Or Twist","PA",3.64024390243902,15222,"Other","42,764","2"
"139","Pittsburgh","Sunseri Jimmy & Nino","PA",3.72222222222222,15222,"European","42,764","1"
"140","Pittsburgh","Jo Jo's Restaurant","PA",3.66666666666667,15222,"Other","42,764","1"
"141","Pittsburgh","Primanti Bros","PA",3.37984496124031,15222,"Other","42,764","1"
"142","Pittsburgh","Monte Cello's Downtown","PA",2.9,15222,"European","42,764","1"
