"","name","city","attributes","stars"," Accepts Credit Cards"," Ambience: romantic"," Attire"," background_music"," breakfast"," brunch"," BYOB"," casual"," Caters"," classy"," Coat Check"," Delivery"," dinner"," divey"," Good For Dancing"," Good For Groups"," Good for Kids"," Good For: dessert"," Happy Hour"," Has TV"," hipster"," intimate"," jukebox"," karaoke"," latenight"," live"," lot"," lunch"," Music: dj"," Noise Level"," Outdoor Seating"," Parking: garage"," Price Range"," Smoking"," street"," Take-out"," Takes Reservations"," touristy"," trendy"," upscale"," valet"," validated"," video"," Waiter Service"," Wheelchair Accessible"," Wi-Fi"
"1","17th Street Cafe","Pittsburgh","Take-out: True, Accepts Credit Cards: True, Price Range: 3, Outdoor Seating: True, Noise Level: average, Parking: garage: False, street: True, validated: False, lot: False, valet: True, Good For Groups: False, Delivery: False, Attire: casual, Has TV: False, Good For: dessert: False, latenight: False, lunch: False, dinner: True, breakfast: False, brunch: False, Takes Reservations: False, Ambience: romantic: False, intimate: True, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Wi-Fi: free, Good for Kids: False, Alcohol: full_bar, Wheelchair Accessible: False",3.46666666666667,"True","False","casual","True","False","False","False","True","False","False","False","False","True","False","False","True","True","False","True","True","False","False","False","False","False","False","False","True","False","loud","True","False","2","outdoor","True","True","True","False","False","False","False","False","False","True","True","free"
"2","1889 Cafe","Pittsburgh","Take-out: True, Price Range: 1, Outdoor Seating: True, Noise Level: average, Parking: garage: False, street: True, validated: False, lot: False, valet: False, Good For Groups: False, Delivery: False, Attire: casual, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: False, brunch: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Accepts Credit Cards: True, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: True",2.63636363636364,"True","False","casual",NA,"False","False",NA,"False",NA,"False",NA,"False","False","False",NA,"False","True","False",NA,"True","False","False",NA,NA,"False",NA,"False","False",NA,"average","True","False","1",NA,"True",NA,"False","False","False","False","False","False",NA,"True","True",NA
"3","1902 Tavern","Pittsburgh","Price Range: 3, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: False, brunch: False, Parking: garage: False, street: False, validated: False, lot: False, valet: False, Delivery: False, Outdoor Seating: True, Attire: casual, Waiter Service: True, Takes Reservations: True, Accepts Credit Cards: True, Good for Kids: True, Good For Groups: True, Alcohol: full_bar",2.75,"True",NA,"casual",NA,"False","False",NA,NA,NA,NA,NA,"False","False",NA,NA,"True","True","False",NA,NA,NA,NA,NA,NA,"False",NA,"False","False",NA,NA,"True","False",NA,NA,"False",NA,"True",NA,NA,NA,"False","False",NA,"True",NA,NA
"4","19th Donut Hole","Mesa","Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: True, Takes Reservations: True, Delivery: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Attire: casual, Wi-Fi: free, Good for Kids: True, Good For Groups: True, Wheelchair Accessible: True",4.02777777777778,"True",NA,"casual",NA,"False","False",NA,NA,NA,NA,NA,"True","False",NA,NA,"True","True","False",NA,NA,NA,NA,NA,NA,"False",NA,"True","False",NA,NA,"True","False","1",NA,"False",NA,"True",NA,NA,NA,"False","False",NA,NA,"True","free"
"5","2 Men and A Pizza","Scottsdale","Take-out: True, Price Range: 1, Outdoor Seating: False, Caters: True, Takes Reservations: False, Good For Groups: True, Delivery: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: False, brunch: False, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Attire: casual, Waiter Service: False, Accepts Credit Cards: True, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",3.07142857142857,"True",NA,"casual",NA,"False","False",NA,NA,"True",NA,NA,"True","False",NA,NA,"True","True","False",NA,NA,NA,NA,NA,NA,"False",NA,"True","False",NA,NA,"False","False","1",NA,"False",NA,"False",NA,NA,NA,"False","False",NA,"False","True",NA
"6","3 Margaritas","Phoenix","Take-out: True, Price Range: 2, Outdoor Seating: False, Caters: False, Noise Level: quiet, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: False, Attire: casual, Good For: dessert: False, latenight: False, lunch: True, dinner: True, breakfast: False, brunch: False, Takes Reservations: True, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Accepts Credit Cards: True, Good for Kids: True, Alcohol: full_bar, Wheelchair Accessible: True",2.66666666666667,"True","False","casual",NA,"False","False",NA,"False","False","False",NA,"False","True","False",NA,"True","True","False",NA,NA,"False","False",NA,NA,"False",NA,"True","True",NA,"quiet","False","False","2",NA,"False",NA,"True","False","False","False","False","False",NA,"True","True",NA
"7","300 East","Charlotte","Alcohol: full_bar, Noise Level: average, Music: dj: False, background_music: True, karaoke: False, live: False, video: False, jukebox: False, Attire: casual, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True, Good for Kids: False, Price Range: 2, Good For Dancing: False, Delivery: False, Dogs Allowed: True, Coat Check: False, Smoking: no, Accepts Credit Cards: True, Take-out: True, Happy Hour: True, Wheelchair Accessible: True, Outdoor Seating: True, Takes Reservations: True, Waiter Service: True, Wi-Fi: free, Caters: False, Good For: dessert: False, latenight: False, lunch: False, dinner: False, brunch: True, breakfast: False, Parking: garage: False, street: True, validated: False, lot: True, valet: False, Has TV: False, Good For Groups: True",4.13291139240506,"True","False","casual","True","False","True",NA,"True","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","True","False","False","average","True","False","2","no","True","True","True","False","False","False","False","False","False","True","True","free"
"8","40th Street Cafe","Phoenix","Take-out: True, Accepts Credit Cards: True, Price Range: 1, Outdoor Seating: True, Caters: False, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Attire: casual, Good For Groups: False, Delivery: False, Dogs Allowed: False, Order at Counter: True, Has TV: True, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: True, brunch: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: True, Waiter Service: True, Wi-Fi: free, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",4.0989010989011,"True","False","casual",NA,"True","False",NA,"True","False","False",NA,"False","False","False",NA,"False","True","False",NA,"True","False","False",NA,NA,"False",NA,"True","False",NA,"average","True","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,"True","True","free"
"9","43rd Express","Phoenix","Take-out: True, Accepts Credit Cards: False, Price Range: 1, Outdoor Seating: False, Caters: False, Noise Level: average, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Good For Groups: True, Delivery: False, Attire: casual, Has TV: False, Good For: dessert: False, latenight: False, lunch: True, dinner: False, breakfast: False, brunch: False, Takes Reservations: False, Ambience: romantic: False, intimate: False, classy: False, hipster: False, divey: True, touristy: False, trendy: False, upscale: False, casual: False, Waiter Service: True, Wi-Fi: no, Good for Kids: True, Alcohol: none, Wheelchair Accessible: True",4.52820512820513,"False","False","casual",NA,"False","False",NA,"False","False","False",NA,"False","False","True",NA,"True","True","False",NA,"False","False","False",NA,NA,"False",NA,"True","True",NA,"average","False","False","1",NA,"False",NA,"False","False","False","False","False","False",NA,"True","True","no"
"10","480 Bar","Chandler","Alcohol: full_bar, Noise Level: loud, Music: dj: False, background_music: True, karaoke: True, live: False, video: False, jukebox: True, Attire: casual, Ambience: romantic: False, intimate: False, touristy: False, hipster: False, divey: True, classy: False, trendy: False, upscale: False, casual: False, Good for Kids: False, Price Range: 1, Good For Dancing: True, Delivery: False, Coat Check: False, Smoking: outdoor, Accepts Credit Cards: True, Take-out: False, Happy Hour: True, Wheelchair Accessible: True, Outdoor Seating: False, Takes Reservations: False, Waiter Service: True, Wi-Fi: free, Caters: False, Good For: dessert: False, latenight: False, lunch: False, dinner: False, breakfast: False, brunch: False, Parking: garage: False, street: False, validated: False, lot: True, valet: False, Has TV: True, Good For Groups: True",3.86666666666667,"True","False","casual","True","False","False",NA,"False","False","False","False","False","False","True","True","True","False","False","True","True","False","False","True","True","False","False","True","False","False","loud","False","False","1","outdoor","False","False","False","False","False","False","False","False","False","True","True","free"
